¨id,kommun,post_ort_saved,personer_count,ratsit_link,created_at,updated_at
1,Ale,1,25652,https://www.ratsit.se/personer/Ale-kommun,,2025-11-17 11:12:48
2,Alingsås,1,34735,https://www.ratsit.se/personer/Alings%C3%A5s-kommun,,2025-11-17 11:13:43
3,Alvesta,1,15925,https://www.ratsit.se/personer/Alvesta-kommun,,2025-11-17 11:14:36
4,Aneby,1,5517,https://www.ratsit.se/personer/Aneby-kommun,,2025-11-17 11:15:28
5,Arboga,1,11633,https://www.ratsit.se/personer/Arboga-kommun,,2025-11-17 11:16:22
6,Arjeplogs,1,2219,https://www.ratsit.se/personer/Arjeplogs-kommun,,2025-11-17 11:17:13
7,Arvidsjaurs,1,5122,https://www.ratsit.se/personer/Arvidsjaurs-kommun,,2025-11-17 11:18:09
8,Arvika,1,21306,https://www.ratsit.se/personer/Arvika-kommun,,2025-11-17 11:19:03
9,Askersunds,1,9659,https://www.ratsit.se/personer/Askersunds-kommun,,2025-11-17 11:19:56
10,Avesta,1,18556,https://www.ratsit.se/personer/Avesta-kommun,,2025-11-17 11:20:51
11,Bengtsfors,1,7689,https://www.ratsit.se/personer/Bengtsfors-kommun,,2025-11-17 11:21:43
12,Bergs,1,5925,https://www.ratsit.se/personer/Bergs-kommun,,2025-11-17 11:22:36
13,Bjurholms,1,1930,https://www.ratsit.se/personer/Bjurholms-kommun,,2025-11-17 11:23:25
14,Bjuvs,1,12895,https://www.ratsit.se/personer/Bjuvs-kommun,,2025-11-17 11:24:17
15,Bodens,1,24072,https://www.ratsit.se/personer/Bodens-kommun,,2025-11-17 11:25:11
16,Bollebygds,1,7858,https://www.ratsit.se/personer/Bollebygds-kommun,,2025-11-17 11:26:02
17,Bollnäs,1,21691,https://www.ratsit.se/personer/Bolln%C3%A4s-kommun,,2025-11-17 11:26:56
18,Borgholms,1,9393,https://www.ratsit.se/personer/Borgholms-kommun,,2025-11-17 11:27:49
19,Borlänge,1,42175,https://www.ratsit.se/personer/Borl%C3%A4nge-kommun,,2025-11-17 11:28:45
20,Borås,1,94246,https://www.ratsit.se/personer/Bor%C3%A5s-kommun,,2025-11-17 11:29:51
21,Botkyrka,1,77381,https://www.ratsit.se/personer/Botkyrka-kommun,,2025-11-17 11:30:49
22,Boxholms,1,4521,https://www.ratsit.se/personer/Boxholms-kommun,,2025-11-17 11:31:39
23,Bromölla,1,10390,https://www.ratsit.se/personer/Brom%C3%B6lla-kommun,,2025-11-17 11:32:31
24,Bräcke,1,5082,https://www.ratsit.se/personer/Br%C3%A4cke-kommun,,2025-11-17 11:33:23
25,Burlövs,1,16123,https://www.ratsit.se/personer/Burl%C3%B6vs-kommun,,2025-11-17 11:34:13
26,Båstads,1,13614,https://www.ratsit.se/personer/B%C3%A5stads-kommun,,2025-11-17 11:35:07
27,Dals-Eds,1,3885,https://www.ratsit.se/personer/Dals-Eds-kommun,,2025-11-17 11:35:56
28,Danderyds,1,26312,https://www.ratsit.se/personer/Danderyds-kommun,,2025-11-17 11:36:50
29,Degerfors,1,7797,https://www.ratsit.se/personer/Degerfors-kommun,,2025-11-17 11:37:41
30,Dorotea,1,1945,https://www.ratsit.se/personer/Dorotea-kommun,,2025-11-17 15:57:17
31,Eda,1,6888,https://www.ratsit.se/personer/Eda-kommun,,2025-11-17 11:39:05
32,Ekerö,1,22675,https://www.ratsit.se/personer/Eker%C3%B6-kommun,,2025-11-17 11:39:58
33,Eksjö,1,14582,https://www.ratsit.se/personer/Eksj%C3%B6-kommun,,2025-11-17 11:40:50
34,Emmaboda,1,7508,https://www.ratsit.se/personer/Emmaboda-kommun,,2025-11-17 11:41:49
35,Enköpings,1,39454,https://www.ratsit.se/personer/Enk%C3%B6pings-kommun,,2025-11-17 11:42:44
36,Eskilstuna,1,86948,https://www.ratsit.se/personer/Eskilstuna-kommun,,2025-11-17 11:43:43
37,Eslövs,1,28267,https://www.ratsit.se/personer/Esl%C3%B6vs-kommun,,2025-11-17 11:44:36
38,Essunga,1,4588,https://www.ratsit.se/personer/Essunga-kommun,,2025-11-17 11:45:30
39,Fagersta,1,10586,https://www.ratsit.se/personer/Fagersta-kommun,,2025-11-17 11:46:23
