id,kommun,foretag_count,ratsit_link,created_at,updated_at,foretag_postort_saved
1,Ale kommun,3688,https://www.ratsit.se/foretag/Ale-kommun,2025-11-17 14:01:27,2025-11-17 16:38:41,1
2,Alingsås kommun,6628,https://www.ratsit.se/foretag/Alings%C3%A5s-kommun,2025-11-17 14:01:28,2025-11-17 16:39:15,1
3,Alvesta kommun,3156,https://www.ratsit.se/foretag/Alvesta-kommun,2025-11-17 14:01:28,2025-11-17 16:39:42,1
4,Aneby kommun,1296,https://www.ratsit.se/foretag/Aneby-kommun,2025-11-17 14:01:28,2025-11-17 16:40:02,1
5,Arboga kommun,1865,https://www.ratsit.se/foretag/Arboga-kommun,2025-11-17 14:01:29,2025-11-17 16:40:22,1
6,Arjeplogs kommun,752,https://www.ratsit.se/foretag/Arjeplogs-kommun,2025-11-17 14:01:29,2025-11-17 16:40:38,1
7,Arvidsjaurs kommun,1043,https://www.ratsit.se/foretag/Arvidsjaurs-kommun,2025-11-17 14:01:30,2025-11-17 16:40:53,1
8,Arvika kommun,4278,https://www.ratsit.se/foretag/Arvika-kommun,2025-11-17 14:01:30,2025-11-17 16:41:18,1
9,Askersunds kommun,1884,https://www.ratsit.se/foretag/Askersunds-kommun,2025-11-17 14:01:31,2025-11-17 16:41:42,1
10,Avesta kommun,3122,https://www.ratsit.se/foretag/Avesta-kommun,2025-11-17 14:01:31,2025-11-17 16:42:07,1
11,Bengtsfors kommun,2079,https://www.ratsit.se/foretag/Bengtsfors-kommun,2025-11-17 14:01:32,2025-11-17 16:42:26,1
12,Bergs kommun,2255,https://www.ratsit.se/foretag/Bergs-kommun,2025-11-17 14:01:32,2025-11-17 16:42:50,1
13,Bjurholms kommun,759,https://www.ratsit.se/foretag/Bjurholms-kommun,2025-11-17 14:01:33,2025-11-17 16:43:02,1
14,Bjuvs kommun,1551,https://www.ratsit.se/foretag/Bjuvs-kommun,2025-11-17 14:01:33,2025-11-17 16:43:24,1
15,Bodens kommun,4143,https://www.ratsit.se/foretag/Bodens-kommun,2025-11-17 14:01:34,2025-11-17 16:43:53,1
