id,post_ort,post_nummer,post_nummer_count,post_nummer_link,created_at,updated_at
1,Alafors,449 50,922,https://www.ratsit.se/personer/Ale-kommun/Alafors-44950,,
2,Alafors,449 51,840,https://www.ratsit.se/personer/Ale-kommun/Alafors-44951,,
3,Alingsås,441 91,1631,https://www.ratsit.se/personer/Alings%C3%A5s-kommun/Alings%C3%A5s-44191,,
4,Alvhem,446 91,14,https://www.ratsit.se/personer/Lilla-Edets-kommun/Alvhem-44691,,
5,Bohus,445 32,429,https://www.ratsit.se/personer/Ale-kommun/Bohus-44532,,
6,Bohus,445 33,444,https://www.ratsit.se/personer/Ale-kommun/Bohus-44533,,
7,Bohus,445 34,23,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Nordost/Bohus-44534,,
8,Bohus,445 36,379,https://www.ratsit.se/personer/Ale-kommun/Bohus-44536,,
9,Bohus,445 37,644,https://www.ratsit.se/personer/Ale-kommun/Bohus-44537,,
10,Gråbo,443 73,373,https://www.ratsit.se/personer/Lerums-kommun/Gr%C3%A5bo-44373,,
11,Hålanda,446 96,539,https://www.ratsit.se/personer/Ale-kommun/H%C3%A5landa-44696,,
12,Lödöse,463 72,959,https://www.ratsit.se/personer/Lilla-Edets-kommun/L%C3%B6d%C3%B6se-46372,,
13,Nol,449 40,758,https://www.ratsit.se/personer/Ale-kommun/Nol-44940,,
14,Nol,449 41,530,https://www.ratsit.se/personer/Ale-kommun/Nol-44941,,
15,Nol,449 42,680,https://www.ratsit.se/personer/Ale-kommun/Nol-44942,,
16,Nol,449 43,619,https://www.ratsit.se/personer/Ale-kommun/Nol-44943,,
17,Nol,449 44,392,https://www.ratsit.se/personer/Ale-kommun/Nol-44944,,
18,Nol,449 90,12,https://www.ratsit.se/personer/Lerums-kommun/Nol-44990,,
19,Nödinge,449 30,751,https://www.ratsit.se/personer/Ale-kommun/N%C3%B6dinge-44930,,
20,Nödinge,449 31,729,https://www.ratsit.se/personer/Ale-kommun/N%C3%B6dinge-44931,,
21,Nödinge,449 32,565,https://www.ratsit.se/personer/Ale-kommun/N%C3%B6dinge-44932,,
22,Nödinge,449 33,611,https://www.ratsit.se/personer/Ale-kommun/N%C3%B6dinge-44933,,
23,Nödinge,449 34,597,https://www.ratsit.se/personer/Ale-kommun/N%C3%B6dinge-44934,,
24,Nödinge,449 35,882,https://www.ratsit.se/personer/Ale-kommun/N%C3%B6dinge-44935,,
25,Nödinge,449 36,480,https://www.ratsit.se/personer/Ale-kommun/N%C3%B6dinge-44936,,
26,Nödinge,449 70,21,https://www.ratsit.se/personer/G%C3%B6teborgs-kommun-Nordost/N%C3%B6dinge-44970,,
27,Sjövik,443 74,411,https://www.ratsit.se/personer/Lerums-kommun/Sj%C3%B6vik-44374,,
28,Skepplanda,446 40,701,https://www.ratsit.se/personer/Ale-kommun/Skepplanda-44640,,
29,Skepplanda,446 41,730,https://www.ratsit.se/personer/Ale-kommun/Skepplanda-44641,,
30,Skepplanda,446 92,727,https://www.ratsit.se/personer/Ale-kommun/Skepplanda-44692,,
31,Skepplanda,446 93,4,https://www.ratsit.se/personer/Lilla-Edets-kommun/Skepplanda-44693,,
32,Skepplanda,446 94,701,https://www.ratsit.se/personer/Ale-kommun/Skepplanda-44694,,
